Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1
Baseline ViT (RGB),0.8421052631578947,0.8571825021670223,0.8749597423510467,0.8544577704171838,0.849391986991524
Haar-ViT (Wavelet),0.7558479532163743,0.7447984838131452,0.7627779190326864,0.7453279714659182,0.7541126244026616
db2-ViT (Wavelet),0.3026315789473684,0.033625730994152045,0.1111111111111111,0.051627384960718295,0.1406166932482722
db4-ViT (Wavelet),0.32894736842105265,0.059657310022985306,0.14444444444444446,0.08332402190049004,0.17798096771131142
Ablation: LL Only,0.5818713450292398,0.5419368007380815,0.5603794106845214,0.5417520470122494,0.585208927819957
Ablation: HF Only,0.3026315789473684,0.033625730994152045,0.1111111111111111,0.051627384960718295,0.1406166932482722
