class_id,precision,recall,f1,support
0,0.0,0.0,0.0,57
1,0.0,0.0,0.0,60
2,0.0,0.0,0.0,60
3,0.0,0.0,0.0,60
4,0.0,0.0,0.0,60
5,0.0,0.0,0.0,60
6,0.0,0.0,0.0,60
7,0.0,0.0,0.0,60
8,0.3026315789473684,1.0,0.46464646464646464,207
